"model_slug","max_context","8k_pct","8k_ci95_lower_pct","8k_ci95_upper_pct","16k_pct","16k_ci95_lower_pct","16k_ci95_upper_pct","32k_pct","32k_ci95_lower_pct","32k_ci95_upper_pct","64k_pct","64k_ci95_lower_pct","64k_ci95_upper_pct","128k_pct","128k_ci95_lower_pct","128k_ci95_upper_pct","256k_pct","256k_ci95_lower_pct","256k_ci95_upper_pct","512k_pct","512k_ci95_lower_pct","512k_ci95_upper_pct","1M_pct","1M_ci95_lower_pct","1M_ci95_upper_pct","auc_128k_pct","auc_1m_pct","tok_eff","cost_128k","cost_1m"
"openai/gpt-5.4-mini","400000","33.02","23.51","42.58","26.69","17.97","35.83","24.77","18.01","31.61","14.18","8.21","21.12","18.89","12.40","26.15","12.21","7.92","17.02","","","","","","","19.43","5.79","0.9809","18.8510","46.3010"
"anthropic/claude-opus-4.7","1000000","52.73","41.18","63.25","37.55","27.09","47.92","17.40","12.68","22.69","12.50","8.25","17.42","0.51","0.23","0.82","1.24","0.69","1.97","9.06","7.17","11.21","","","","14.13","5.36","1.6294","104.3087","1074.9279"
"nvidia/nemotron-3-super-120b-a12b","1000000","42.09","31.01","52.60","27.84","19.01","36.83","32.32","24.88","39.54","19.16","12.12","27.16","24.87","17.70","32.28","","","","","","","","","","24.95","4.51","1.0245","2.4099","2.4099"
"z-ai/glm-5.1","202752","50.61","39.52","60.53","35.49","25.65","45.51","25.55","19.08","32.30","26.86","18.79","36.04","19.59","13.04","26.32","","","","","","","","","","26.31","4.34","0.9919","26.2145","26.2145"
"xiaomi/mimo-v2-omni","262144","70.62","60.79","79.56","51.43","40.23","62.21","38.10","30.22","45.84","21.70","14.46","29.95","14.84","9.19","21.31","","","","","","","","","","27.75","4.21","1.0076","11.5520","11.5520"
"minimax/minimax-m2.7","204800","63.56","53.00","73.18","34.65","24.54","45.01","35.53","28.09","43.37","19.99","12.96","28.02","16.81","10.89","23.48","","","","","","","","","","25.17","4.03","0.9610","8.2504","8.2504"
"openai/gpt-5.4-nano","400000","19.81","12.57","27.30","13.59","7.48","20.87","12.94","8.53","18.53","12.32","6.75","19.29","8.09","4.31","12.31","9.81","6.13","13.95","","","","","","","11.69","3.74","0.9809","5.0153","12.3168"
"anthropic/claude-haiku-4.5","200000","82.49","74.00","89.94","47.55","36.69","58.15","31.51","24.33","38.57","17.04","10.24","24.89","13.78","8.82","19.92","","","","","","","","","","24.30","3.74","1.1347","33.2122","33.2122"
"mistralai/mistral-medium-3.5","","71.67","61.96","80.56","45.15","33.98","55.98","24.50","18.29","30.93","17.42","10.88","25.10","13.15","8.65","18.24","","","","","","","","","","22.28","3.46","1.0244","0.0000","0.0000"
"xiaomi/mimo-v2-omni","262144","30.56","21.74","40.04","28.21","19.54","37.96","18.29","12.49","24.51","21.21","14.17","29.38","9.32","5.26","14.12","","","","","","","","","","18.47","2.77","1.0077","10.1788","10.1788"
"mistralai/mistral-medium-3.5","","32.05","23.10","41.42","16.61","9.94","23.90","15.04","10.25","20.37","20.13","12.92","28.20","8.62","4.71","13.27","","","","","","","","","","16.09","2.44","1.0244","0.0000","0.0000"
"anthropic/claude-haiku-4.5","200000","28.99","20.32","38.57","21.86","14.43","30.16","15.22","10.16","20.87","17.33","10.41","25.30","9.19","5.20","13.95","","","","","","","","","","15.58","2.42","1.1332","28.7810","28.7810"
"mistralai/mistral-small-4","","58.72","48.51","68.90","34.23","24.45","43.94","23.79","17.62","30.13","10.41","6.07","15.31","6.94","3.97","10.44","","","","","","","","","","16.15","2.34","1.0244","0.0000","0.0000"
"mistralai/mistral-small-4","","24.51","16.69","32.43","21.17","13.83","28.77","11.75","7.54","16.43","8.88","5.28","13.14","7.28","3.81","11.15","","","","","","","","","","10.78","1.73","1.0244","0.0000","0.0000"
